unit_id;unit_name;route_id;route_desc;weekday_peak_headway;weekday_offpeak_headway;weekday_night_headway;saturday_day_headway;saturday_night_headway;sunday_day_headway;sunday_night_headway
14;Mt Wellington;140;Otahuhu to Sylvia Park via Panama Rd;15;30;30;30;30;30;30
14;Mt Wellington;141;Sylvia Park to Ellerslie;15;30;30;30;30;30;30
14;Mt Wellington;142;Ellerslie to Glen Innes;15;30;30;30;30;30;30
14;Mt Wellington;143;Sylvia Park to Glen Innes;15;30;30;30;30;30;30
14;Mt Wellington;144;Panmure to Glen Innes to Meadowbank (St John’s circuit);15;30;30;30;30;30;30
16;Tamaki;160;Glen Innes to City via St Heliers and Tamaki Drive;30;30;30;30;30;30;30 
16;Tamaki;161;Riddell Rd to City via St Heliers and Tamaki Drive;30;30;30;30;30;30;30 
16;Tamaki;162;Glen Innes to city via Wai-o-toki Bay and Kepa Rd;15;30;30;30;30;30;30
16;Tamaki;163;Glen Innes to City via Long Drive;15;30;;;;;
16;Tamaki;164;Glen Innes to Mission Bay via Long Drive;;30;30;30;30;30;30 
16;Tamaki;165;Bastion Pt to Glen Innes via Mission Bay;20;30;60;30;60;30;60 
17;Hospitals;170;Hospitals. Remuera to Britomart via Ascot, Greenlane and Auckland Hospitals;60;60;60;60;60;60;60
18;Mt Eden Crosstown;180;Mt Eden Crosstown. Wynyard Quarter to Mission Bay via Kingsland, Mt Eden Village;15;20;30;30;30;30;30
19;Balmoral Road Crosstown;190;Balmoral Road Crosstown Pt. Chevalier to Orakei;10;15;15;15;15;15;30
20;Mt Albert Crosstown;200;Mt Albert Rd Crosstown. Mt Albert to Pakuranga via Onehunga;10;15;15;15;15;15;30
21;Stoddard Rd Crosstown;210;Stoddard Rd Crosstown. Triangle Rd to Onehunga via Rosebank Rd and Avondale;15;30;30;30;60;30;60
21;Stoddard Rd Crosstown;211;Avondale to New Lynn via Avondale Peninsula;30;30;60;60;60;60;60
22;Hillsborough Rd Crosstown;220;Hillsborough Rd Crosstown. New Lynn to Onehunga and Sylvia Park;15;30;30;30;60;30;60
22;Hillsborough Rd Crosstown;221;Hillsborough Rd Crosstown. New Lynn to Onehunga and Otahuhu;15;30;60;60;60;60;60
24;Waiheke;240;O'Brien Rd. Omiha Bay to Matiatia Ferry Terminal;30;60;60;60;60;60;60
24;Waiheke;241;Donald Bruce Rd. Kennedy Point to Matiatia Ferry Terminal;30;60;60;60;60;60;60
24;Waiheke;242;Seaview Rd. Onetangi to Matiatia Ferry Terminal;30;60;60;60;60;60;60
25;Titirangi;250;New Lynn to Avondale via Green Bay and Blockhouse Bay;15;30;60;30;60;30;60
25;Titirangi;251;Golf Road to New Lynn;30;60;60;60;120;60;120
25;Titirangi;252;French Bay to New Lynn via Golf Rd;30;60;60;120;120;120;120
25;Titirangi;253;South Titirangi Rd to New Lynn via Titirangi Rd;60;60;60;60;60;60;60
25;Titirangi;254;Glen Eden Station to New Lynn via Titirangi Village and Titirangi Rd;60;60;60;60;60;60;60
25;Titirangi;255;Woodlands Park Rd to New Lynn via Titirangi Village and Titirangi Road;60;60;60;60;60;60;60
25;Titirangi;256;Brains Park to New Lynn via Nikau St;30;30;60;30;60;30;60
25;Titirangi;257;Titirangi Shops to City via Green Bay and Blockhouse Bay Rd;20;;;;;;
26;Waikumete;260;New Lynn to Triangle Rd via Great North, Henderson and Lincoln Rd;10;12;15;15;15;15;30
26;Waikumete;261;New Lynn to Westgate via Great North Rd, Henderson, Lincoln Rd, Triangle Rd;15;30;60;30;60;30;60
26;Waikumete;262;Henderson to New Lynn via Glengarry Rd and Glen Eden;30;60;60;60;60;60;60
26;Waikumete;263;Henderson to New Lynn via Rosier Rd and Glen Eden;30;60;60;60;60;60;60
26;Waikumete;264;Henderson to New Lynn via Glendene;15;30;60;30;60;30;60
26;Waikumete;265;Henderson circuit via Sunnyvale and McLaren Park;60;60;;60;60;60;60
27;Te Atatu;270;Te Atatu Peninsula to Henderson via Te Atatu Rd;15;15;15;15;15;15;60
