stop_code,stop_lat,zone_id,stop_lon,stop_id,parent_station,stop_desc,stop_name,location_type
31457,-36.89689,merged_28,174.82883999999999,stop_1665,,,Ellerslie Panmure Hwy/Stanhope Rd,1
31458,-36.8969,merged_28,174.8316,stop_1666,,,Ellerslie Panmure Hwy/Harris Rd,1
31459,-36.89649,merged_29,174.83533,stop_1667,,,Ellerslie Panmure Hwy/Burt Rd,1
31460,-36.896359999999994,merged_29,174.84009,stop_1668,,,Ellerslie Panmure Hwy/Barrack Rd,1
31461,-36.89703,merged_29,174.84333999999998,stop_1669,,,Ellerslie Panmure Hwy/Mountain Rd,1
31464,-36.89317,merged_29,174.8337,stop_1670,,,Marua Rd/Harris Rd,1
31465,-36.89926,merged_28,174.8522,stop_1671,,,Queens Rd/Jellicoe Rd,1
31466,-36.89817,merged_29,174.85415,stop_1672,,,Pilkington Rd/Panmure Library,1
31467,-36.89497,merged_29,174.84008,stop_1673,,,Lunn Ave/Marua Rd,1
31468,-36.89433,merged_29,174.8368,stop_1674,,,Marua Rd/Burt Rd,1
31469,-36.89248,merged_29,174.83178,stop_1675,,,/181 Marua Rd,1
31470,-36.89222,merged_29,174.82973,stop_1676,,,Marua Rd/Stanhope Rd,1
31471,-36.8923,merged_28,174.82691,stop_1677,,,Marua Rd/Dryden Place,1
31472,-36.89175,merged_29,174.82418,stop_1678,,,Marua Rd/Celtic Crescent,1
31475,-36.89132,merged_29,174.82221,stop_1679,,,Marua Rd/Whites Way,1
31476,-36.8908,merged_28,174.81988,stop_1680,,,/55 and 72 Marua Rd,1
31477,-36.89015,merged_28,174.81681,stop_1681,,,Marua Rd/Michaels Ave,1
31478,-36.8914,merged_28,174.81246000000002,stop_1682,,,Ladies Mile/Derby Downs Place,1
31479,-36.89334,merged_28,174.81142,stop_1683,,,Ladies Mile/Morrin St,1
31480,-36.89431,merged_29,174.81285,stop_1684,,,Pukerangi Crescent/Arthur St,1
31481,-36.89615,merged_29,174.81431,stop_1685,,,Amy St/Ballin St,1
31482,-36.897290000000005,merged_28,174.83057,stop_1686,,,Ferndale Rd/Stanhope Rd School,1
31483,-36.89931,merged_28,174.82926,stop_1687,,,Ferndale Rd/Faber Ave,1
31484,-36.901140000000005,merged_29,174.82883999999999,stop_1688,,,Panorama Rd/Ferndale Rd,1
31485,-36.90128,merged_28,174.83066000000002,stop_1689,,,Panorama Rd/Almond Place,1
31486,-36.90078,merged_28,174.83352,stop_1690,,,Harwood Rd/Boakes Rd,1
31487,-36.90213,merged_29,174.83399,stop_1691,,,/45 and 60 Boakes Rd,1
31488,-36.90443,merged_28,174.83595,stop_1692,,,Barrack Rd/Boakes Rd,1
31489,-36.90616,merged_29,174.83491999999998,stop_1693,,,Barrack Rd/Penrose Rd,1
31490,-36.90763,merged_29,174.83645,stop_1694,,,Penrose Rd/Jarman Rd,1
31491,-36.907309999999995,merged_28,174.83045,stop_1695,,,Penrose Rd/Spooner Lane,1
31492,-36.90763,merged_28,174.82631999999998,stop_1696,,,Penrose Rd/Bailey Rd,1
31493,-36.90763,merged_29,174.82397,stop_1697,,,Penrose Rd/Rydal Drive,1
31495,-36.90885,merged_29,174.82218,stop_1698,,,Portman Rd/Penrose Rd,1
31496,-36.911590000000004,merged_28,174.82367,stop_1699,,,Portman Rd/Cotswold Lane,1
31497,-36.9083,merged_28,174.82723000000001,stop_1700,,,Bailey Rd and Penrose,1
31498,-36.910740000000004,merged_28,174.828,stop_1701,,,Commissariat Rd/Bailey Rd,1
31499,-36.91279,merged_28,174.82745,stop_1702,,,Commissariat Rd/Aranui Rd,1
31500,-36.91395,merged_28,174.82927,stop_1703,,,Aranui Rd and Whitford,1
31501,-36.91571,merged_29,174.83219,stop_1704,,,Aranui Rd and Ruawai,1
31502,-36.91362,merged_28,174.83268,stop_1705,,,Ruawai Rd/Rayma Place,1
31503,-36.91248,merged_28,174.83265,stop_1706,,,74 Ruawai Rd,1
31504,-36.91064,merged_28,174.83238,stop_1707,,,Ruawai Rd/Price Crescent,1
31506,-36.90772,merged_28,174.83265,stop_1708,,,12 Ruawai Rd,1
31507,-36.89821,merged_28,174.84516000000002,stop_1709,,,Mt Wellington Hwy/Ellerslie Panmure Hwy,1
31508,-36.90143,merged_28,174.84298,stop_1710,,,Mt Wellington Hwy/Panmure District School,1
